Speed,MovFlag,Peakrangenorm,Species,ID,Chan,Session,DrugFlag
13.47481602,btwn,0.616074299,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
11.54327857,btwn,0.389428592,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
28.77339926,mov,0.428874735,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
13.25226922,btwn,0.491635708,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
11.20173733,btwn,0.290239213,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
3.796456422,imm,0.272811677,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
4.293348859,imm,0.416269563,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.340055743,imm,0.232660256,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
16.32666543,btwn,0.469758651,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
21.30240656,mov,0.295185584,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
16.77232501,btwn,0.477870485,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
12.28361053,btwn,0.697688392,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
6.713486522,btwn,0.281863005,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
5.336957834,btwn,0.247909402,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
9.783184723,btwn,0.69387425,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
17.46081452,btwn,0.52524074,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
19.31384613,btwn,0.681884319,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
10.75780344,btwn,0.429837081,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
16.62505823,btwn,0.495779807,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
18.98191774,btwn,0.632127133,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
5.225818677,btwn,0.622196842,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
8.132070895,btwn,0.452647458,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
9.597120682,btwn,0.409120003,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
6.120148596,btwn,0.535106744,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
7.762115719,btwn,0.609529935,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
20.8354098,mov,0.706993805,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
19.665726,btwn,0.636307397,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
15.94271252,btwn,0.450177882,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
12.06538723,btwn,0.571108919,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
20.55230997,mov,0.593647804,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
20.00641007,mov,0.627575933,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
7.043483654,btwn,0.505541368,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
12.62272262,btwn,0.745361346,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
11.54655369,btwn,0.46505719,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
4.327192741,imm,0.518884218,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
31.60428612,mov,0.501287619,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
17.35715999,btwn,0.554186356,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
8.792372827,btwn,0.728316396,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
12.87862462,btwn,0.355787445,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
7.53892438,btwn,0.266614781,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.814566034,imm,0.474600706,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
0.527442719,imm,0.413400059,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
2.44869034,imm,0.489069154,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
9.591206787,btwn,0.454987243,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
19.02269332,btwn,0.532320767,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
16.03145295,btwn,0.214071263,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
12.29922267,btwn,0.306271687,F,KIW,ori,KIW_Block10-147_2016-01-18T10-21,A
