ID,IDside,Species,Date,TextFile,RecType,RecSide,RawDataFolder,CSCX,N_CSCX,ExtractedFolder,ExtractedFile,ExtractedEventFile,VidFile,TrackingFile,Level,Modality
"ERED","EREDR","R","2017-6-5","E-RED_2017-6-5 level06_SNR_VIS 13-52-57.txt","T","R","2017-06-05_13-49-20, 2017-06-05_13-49-20","CSCX.ncs, CSCX_0001.ncs",2,"2017-06-05_13-49-20","2017-06-05_13-49-20_CX.mat","2017-06-05_13-49-20_Events.mat, 2017-06-05_13-49-20_Events_0001.mat","VT1.mpg, VT1_0001.mpg","2017-06-05_13-49-20_VT1_position_tracking.mat",6,"V"
"ERED","EREDR","R","2017-6-7","E-RED_2017-6-7 level05_mixDur_VIS 13-38-7.txt","T","R","2017-06-07_13-34-46","CSCX_0001.ncs",1,"2017-06-07_13-34-46","2017-06-07_13-34-46_CX.mat","2017-06-07_13-34-46_Events_0001.mat","VT1_0001.mpg","2017-06-07_13-34-46_VT1_0001_position_tracking.mat",5,"V"
"ERED","EREDR","R","2017-6-8","E-RED_2017-6-8 level06_SNR_VIS 13-43-53.txt","T","R","2017-06-08_13-18-29","CSCX.ncs",1,"2017-06-08_13-18-29","2017-06-08_13-18-29_CX.mat","2017-06-08_13-18-29_Events.mat","VT1.mpg","2017-06-08_13-18-29_VT1_position_tracking.mat",6,"V"
"ERED","EREDR","R","2017-6-9","E-RED_2017-6-9 level05_mixDur_VIS 11-4-30.txt","T","R","2017-06-09_10-44-53","CSCX.ncs",1,"2017-06-09_10-44-53","2017-06-09_10-44-53_CX.mat","2017-06-09_10-44-53_Events.mat","VT1.mpg","2017-06-09_10-44-53_VT1_position_tracking.mat",5,"V"
"ERED","EREDR","R","2017-6-12","E-RED_2017-6-12 level06_SNR_VIS 16-49-5.txt","T","R","2017-06-12_16-39-28","CSCX_0001.ncs",1,"2017-06-12_16-39-28","2017-06-12_16-39-28_CX.mat","2017-06-12_16-39-28_Events_0001.mat","VT1_0001.mpg","2017-06-12_16-39-28_VT1_0001_position_tracking.mat",6,"V"
"ERED","EREDR","R","2017-6-13","E-RED_2017-6-13 level05_mixDur_VIS 17-27-0.txt","T","R","2017-06-13_17-22-02, 2017-06-13_17-22-02","CSCX_0001.ncs, CSCX_0002.ncs",2,"2017-06-13_17-22-02","2017-06-13_17-22-02_CX.mat","2017-06-13_17-22-02_Events_0001.mat, 2017-06-13_17-22-02_Events_0002.mat","VT1_0001.mpg, VT1_0002.mpg","2017-06-13_17-22-02_VT1_0001_position_tracking.mat",5,"V"
"ERED","EREDR","R","2017-6-13","E-RED_2017-6-13 level05_mixDur_VIS 17-48-51.txt","T","R","2017-06-13_17-47-52","CSCX.ncs",1,"2017-06-13_17-47-52","2017-06-13_17-47-52_CX.mat","2017-06-13_17-47-52_Events.mat","VT1.mpg","2017-06-13_17-47-52_VT1_position_tracking.mat",5,"V"
"ERED","EREDR","R","2017-6-14","E-RED_2017-6-14 level05_mixDur_VIS 16-13-15.txt","T","R","2017-06-14_16-07-06","CSCX.ncs",1,"2017-06-14_16-07-06","2017-06-14_16-07-06_CX.mat","2017-06-14_16-07-06_Events.mat","VT1.mpg","2017-06-14_16-07-06_VT1_position_tracking.mat",5,"V"
"ERED","EREDR","R","2017-6-15","E-RED_2017-6-15 level06_SNR_VIS 13-23-7.txt","T","R","2017-06-15_13-16-26","CSCX.ncs",1,"2017-06-15_13-16-26","2017-06-15_13-16-26_CX.mat","2017-06-15_13-16-26_Events.mat","VT1.mpg","2017-06-15_13-16-26_VT1_position_tracking.mat",6,"V"
"ERED","EREDR","R","2017-6-19","E-RED_2017-6-19 level05_mixDur_VIS 17-58-16.txt","T","R","2017-06-19_17-51-38","CSCX.ncs",1,"2017-06-19_17-51-38","2017-06-19_17-51-38_CX.mat","2017-06-19_17-51-38_Events.mat","VT1.mpg","2017-06-19_17-51-38_VT1_position_tracking.mat",5,"V"
"ERED","EREDR","R","2017-6-20","E-RED_2017-6-20 level06_SNR_VIS 14-19-30.txt","T","R","2017-06-20_14-08-58","CSCX.ncs",1,"2017-06-20_14-08-58","2017-06-20_14-08-58_CX.mat","2017-06-20_14-08-58_Events.mat","VT1.mpg","2017-06-20_14-08-58_VT1_position_tracking.mat",6,"V"
"ERED","EREDR","R","2017-6-30","E-RED_2017-6-30 level05_mixDur_VIS 13-27-34.txt","T","R","2017-06-30_13-19-19","CSCX.ncs",1,"2017-06-30_13-19-19","2017-06-30_13-19-19_CX.mat","2017-06-30_13-19-19_Events.mat","VT1.mpg","2017-06-30_13-19-19_VT1_position_tracking.mat",5,"V"
"ERED","EREDR","R","2017-7-4","E-RED_2017-7-4 level06_SNR_VIS 15-20-29.txt","T","R","2017-07-04_15-12-32","CSCX.ncs",1,"2017-07-04_15-12-32","2017-07-04_15-12-32_CX.mat","2017-07-04_15-12-32_Events.mat","VT1.mpg","2017-07-04_15-12-32_VT1_position_tracking.mat",6,"V"
"ERED","EREDR","R","2017-7-18","E-RED_2017-7-18 level06_SNR_VIS 13-2-16.txt","T","R","2017-07-18_12-55-40","CSCX.ncs",1,"2017-07-18_12-55-40","2017-07-18_12-55-40_CX.mat","2017-07-18_12-55-40_Events.mat","VT1.mpg","2017-07-18_12-55-40_VT1_position_tracking.mat",6,"V"
"ERED","EREDR","R","2017-8-3","E-RED_2017-8-3 level06_SNR_VIS 14-30-35.txt","T","R","2017-08-03_14-25-00","CSCX.ncs",1,"2017-08-03_14-25-00","2017-08-03_14-25-00_CX.mat","2017-08-03_14-25-00_Events.mat","VT1.mpg","2017-08-03_14-25-00_VT1_position_tracking.mat",6,"V"
