ID,IDside,FullfID,Species,Date,TextFile,Block,RecType,RecSide,MCSFile,ExtractedFolder,ExtractedFile,VidFile,TrackingFile,Level,Modality
BEA,BEAR,F1510_Beaker,F,2015-9-10,10_9_2015 level06_SNR_Vis 14_42_Block10-40_RHS log.txt,Block10-40,W,R,2015-09-10T14-41_Block10-40_RHS.h5,BEA_Block10-40_2015-09-10T14-41,BEA_Block10-40_2015-09-10T14-41_RHS_CX.mat,F1510_Beaker_Block10-40_Vid0.avi,BEA_Block10-40_2015-09-10T14-41_RHS_position_tracking.mat,6,V
BEA,BEAR,F1510_Beaker,F,2015-9-11,11_9_2015 level06_SNR_Aud 9_15_Block10-41_RHS log.txt,Block10-41,W,R,2015-09-11T09-12_Block10-41_RHS.h5,BEA_Block10-41_2015-09-11T09-12,BEA_Block10-41_2015-09-11T09-12_RHS_CX.mat,F1510_Beaker_Block10-41_Vid0.avi,BEA_Block10-41_2015-09-11T09-12_RHS_position_tracking.mat,6,A
BEA,BEAR,F1510_Beaker,F,2015-9-11,11_9_2015 level06_SNR_Aud 16_29_Block10-42_RHS log.txt,Block10-42,W,R,2015-09-11T16-28_Block10-42_RHS.h5,BEA_Block10-42_2015-09-11T16-28,BEA_Block10-42_2015-09-11T16-28_RHS_CX.mat,F1510_Beaker_Block10-42_Vid0.avi,BEA_Block10-42_2015-09-11T16-28_RHS_position_tracking.mat,6,A
BEA,BEAR,F1510_Beaker,F,2015-9-15,15_9_2015 level06_SNR_Vis 11_6_Block10-43_RHS log.txt,Block10-43,W,R,2015-09-15T11-05_Block10-43_RHS.h5,BEA_Block10-43_2015-09-15T11-05,BEA_Block10-43_2015-09-15T11-05_RHS_CX.mat,F1510_Beaker_Block10-43_Vid0.avi,BEA_Block10-43_2015-09-15T11-05_RHS_position_tracking.mat,6,V
BEA,BEAR,F1510_Beaker,F,2015-9-15,15_9_2015 level06_SNR_Vis 16_4_Block10-44_RHS log.txt,Block10-44,W,R,2015-09-15T16-04_Block10-44_RHS.h5,BEA_Block10-44_2015-09-15T16-04,BEA_Block10-44_2015-09-15T16-04_RHS_CX.mat,F1510_Beaker_Block10-44_Vid0.avi,BEA_Block10-44_2015-09-15T16-04_RHS_position_tracking.mat,6,V
BEA,BEAR,F1510_Beaker,F,2015-9-15,15_9_2015 level06_SNR_Vis 16_12_Block10-45_RHS log.txt,Block10-45,W,R,2015-09-15T16-11_Block10-45_RHS.h5,BEA_Block10-45_2015-09-15T16-11,BEA_Block10-45_2015-09-15T16-11_RHS_CX.mat,F1510_Beaker_Block10-45_Vid0.avi,BEA_Block10-45_2015-09-15T16-11_RHS_position_tracking.mat,6,V
BEA,BEAR,F1510_Beaker,F,2015-9-16,16_9_2015 level06_SNR_Aud 10_22_Block10-46_RHS log.txt,Block10-46,W,R,2015-09-16T10-21_Block10-46_RHS.h5,BEA_Block10-46_2015-09-16T10-21,BEA_Block10-46_2015-09-16T10-21_RHS_CX.mat,F1510_Beaker_Block10-46_Vid0.avi,BEA_Block10-46_2015-09-16T10-21_RHS_position_tracking.mat,6,A
BEA,BEAR,F1510_Beaker,F,2015-9-16,16_9_2015 level06_SNR_Aud 15_42_Block10-47_RHS log.txt,Block10-47,W,R,2015-09-16T15-41_Block10-47_RHS.h5,BEA_Block10-47_2015-09-16T15-41,BEA_Block10-47_2015-09-16T15-41_RHS_CX.mat,F1510_Beaker_Block10-47_Vid0.avi,BEA_Block10-47_2015-09-16T15-41_RHS_position_tracking.mat,6,A
BEA,BEAL,F1510_Beaker,F,2015-9-21,21_9_2015 level05_mixDur_Aud 9_42_Block10-48_LHS log.txt,Block10-48,W,L,2015-09-21T09-40_Block10-48_LHS.h5,BEA_Block10-48_2015-09-21T09-40,BEA_Block10-48_2015-09-21T09-40_LHS_CX.mat,F1510_Beaker_Block10-48_Vid0.avi,BEA_Block10-48_2015-09-21T09-40_LHS_position_tracking.mat,5,A
BEA,BEAL,F1510_Beaker,F,2015-9-21,21_9_2015 level05_mixDur_Aud 15_17_Block10-49_LHS log.txt,Block10-49,W,L,2015-09-21T15-16_Block10-49_LHS.h5,BEA_Block10-49_2015-09-21T15-16,BEA_Block10-49_2015-09-21T15-16_LHS_CX.mat,F1510_Beaker_Block10-49_Vid0.avi,BEA_Block10-49_2015-09-21T15-16_LHS_position_tracking.mat,5,A
BEA,BEAL,F1510_Beaker,F,2015-9-22,22_9_2015 level06_SNR_Vis 10_12_Block10-50_LHS log.txt,Block10-50,W,L,2015-09-22T10-11_Block10-50_LHS.h5,BEA_Block10-50_2015-09-22T10-11,BEA_Block10-50_2015-09-22T10-11_LHS_CX.mat,F1510_Beaker_Block10-50_Vid0.avi,BEA_Block10-50_2015-09-22T10-11_LHS_position_tracking.mat,6,V
BEA,BEAL,F1510_Beaker,F,2015-9-22,22_9_2015 level06_SNR_Vis 15_51_Block10-51_LHS log.txt,Block10-51,W,L,2015-09-22T15-51_Block10-51_LHS.h5,BEA_Block10-51_2015-09-22T15-51,BEA_Block10-51_2015-09-22T15-51_LHS_CX.mat,F1510_Beaker_Block10-51_Vid0.avi,BEA_Block10-51_2015-09-22T15-51_LHS_position_tracking.mat,6,V
BEA,BEAL,F1510_Beaker,F,2015-9-23,23_9_2015 level05_mixDur_Aud 16_29_Block10-52_LHS log.txt,Block10-52,W,L,2015-09-23T16-28_Block10-52_LHS.h5,BEA_Block10-52_2015-09-23T16-28,BEA_Block10-52_2015-09-23T16-28_LHS_CX.mat,F1510_Beaker_Block10-52_Vid0.avi,BEA_Block10-52_2015-09-23T16-28_LHS_position_tracking.mat,5,A
BEA,BEAL,F1510_Beaker,F,2015-9-24,24_9_2015 level05_mixDur_Vis 9_40_Block10-53_LHS log.txt,Block10-53,W,L,2015-09-24T09-40_Block10-53_LHS.h5,BEA_Block10-53_2015-09-24T09-40,BEA_Block10-53_2015-09-24T09-40_LHS_CX.mat,F1510_Beaker_Block10-53_Vid0.avi,BEA_Block10-53_2015-09-24T09-40_LHS_position_tracking.mat,5,V
BEA,BEAL,F1510_Beaker,F,2015-9-24,24_9_2015 level05_mixDur_Vis 15_3_Block10-54_LHS log.txt,Block10-54,W,L,2015-09-24T15-03_Block10-54_LHS.h5,BEA_Block10-54_2015-09-24T15-03,BEA_Block10-54_2015-09-24T15-03_LHS_CX.mat,F1510_Beaker_Block10-54_Vid0.avi,BEA_Block10-54_2015-09-24T15-03_LHS_position_tracking.mat,5,V
BEA,BEAL,F1510_Beaker,F,2015-9-25,25_9_2015 level06_SNR_Aud 8_53_Block10-55_LHS log.txt,Block10-55,W,L,2015-09-25T08-53_Block10-55_LHS.h5,BEA_Block10-55_2015-09-25T08-53,BEA_Block10-55_2015-09-25T08-53_LHS_CX.mat,F1510_Beaker_Block10-55_Vid0.avi,BEA_Block10-55_2015-09-25T08-53_LHS_position_tracking.mat,6,A
BEA,BEAL,F1510_Beaker,F,2015-9-25,25_9_2015 level06_SNR_Aud 15_10_Block10-57_LHS log.txt,Block10-57,W,L,2015-09-25T15-10_Block10-57_LHS.h5,BEA_Block10-57_2015-09-25T15-10,BEA_Block10-57_2015-09-25T15-10_LHS_CX.mat,F1510_Beaker_Block10-57_Vid0.avi,BEA_Block10-57_2015-09-25T15-10_LHS_position_tracking.mat,6,A
